City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kailua-kona,19.6406,-155.9956,76.96,99,75,4.61,US,1689922803
84,novokruchininskiy,51.7833,113.7667,74.93,21,100,3.74,RU,1689923012
85,baoqing,46.3317,132.2111,85.26,69,41,6.35,CN,1689923013
86,san mateo del mar,16.2,-95.0,81.73,75,100,28.03,MX,1689923013
87,karlovo,42.6333,24.8,83.57,44,0,2.95,BG,1689923013
88,puerto deseado,-47.7503,-65.8938,47.1,65,100,24.2,AR,1689923013
89,new plymouth,-39.0667,174.0833,49.8,69,100,30.62,NZ,1689922826
90,sao jose da coroa grande,-8.8978,-35.1478,74.48,77,43,13.82,BR,1689923014
91,jamestown,42.097,-79.2353,63.99,99,75,11.5,US,1689923014
92,kiunga,-6.1219,141.2906,79.57,90,100,1.83,PG,1689923014
93,gadzhiyevo,69.2551,33.3362,48.02,78,100,17.78,RU,1689923014
94,fuxin,42.0156,121.6589,94.26,34,100,13.42,CN,1689922843
95,fada,9.5667,8.3,67.06,96,100,3.85,NG,1689923015
96,port douglas,-16.4833,145.4667,73.29,74,77,9.51,AU,1689923015
97,bangkalan,-7.0455,112.7351,89.55,46,4,2.53,ID,1689923015
98,puerto aysen,-45.4,-72.7,42.75,99,100,3.62,CL,1689923016
99,linghai,41.1653,121.3667,91.26,35,100,11.16,CN,1689923016
100,manokwari,-0.8667,134.0833,83.16,76,23,9.93,ID,1689923016
101,kingston,17.997,-76.7936,83.21,87,58,1.99,JM,1689922930
102,ilulissat,69.2167,-51.1,46.42,87,75,2.3,GL,1689923017
103,ghanzi,-21.5667,21.7833,55.87,69,8,20.62,BW,1689923018
104,bredasdorp,-34.5322,20.0403,44.15,77,74,4.63,ZA,1689923018
105,atafu village,-8.5421,-172.5159,83.79,76,12,10.98,TK,1689923018
106,moussoro,13.6408,16.4901,87.39,40,89,10.4,TD,1689923019
107,petropavlovsk-kamchatsky,53.0452,158.6483,63.19,88,75,2.24,RU,1689923019
108,kerikeri,-35.2268,173.9474,54.91,87,100,1.99,NZ,1689923019
109,klyuchi,52.2667,79.1667,86.67,31,99,12.01,RU,1689923019
110,ancud,-41.8697,-73.8203,51.57,86,100,21.09,CL,1689923020
111,gebeit,21.0667,36.3167,98.73,11,100,3.33,SD,1689923020
112,remire-montjoly,4.9167,-52.2667,71.64,100,75,2.3,GF,1689923020
113,malya,-2.9833,33.5167,75.97,34,0,13.78,TZ,1689923020
114,isafjordur,66.0755,-23.124,46.44,87,0,0.0,IS,1689923020
115,sur,22.5667,59.5289,91.13,62,100,4.45,OM,1689923021
116,hithadhoo,-0.6,73.0833,83.79,73,100,14.03,MV,1689923021
117,katsuren-haebaru,26.3369,127.8719,89.62,69,40,9.22,JP,1689923021
118,gannat,46.1002,3.1989,71.38,56,41,4.21,FR,1689923022
119,west island,-12.1568,96.8225,80.58,69,40,19.57,CC,1689923022
120,ust-nera,64.5667,143.2,67.82,87,100,3.58,RU,1689923023
121,talnakh,69.4865,88.3972,64.83,95,100,7.76,RU,1689923023
122,itatiba,-23.0058,-46.8389,57.72,96,6,5.88,BR,1689923024
123,lincoln,40.8,-96.667,70.27,79,0,5.75,US,1689922802
124,richards bay,-28.783,32.0377,59.2,72,99,3.22,ZA,1689923024
125,nova vicosa,-17.8919,-39.3719,71.44,82,100,16.71,BR,1689923024
126,hashtrud,37.4779,47.0508,81.55,36,0,10.13,IR,1689923024
127,kalmunai,7.4167,81.8167,95.09,42,98,2.71,LK,1689923025
128,hermanus,-34.4187,19.2345,48.79,69,8,12.15,ZA,1689923025
129,wuwei,37.9281,102.6414,87.33,13,0,17.25,CN,1689923025
130,nuku'alofa,-21.1333,-175.2,71.94,88,75,17.27,TO,1689923025
131,castillos,-34.1667,-53.8333,57.4,95,24,9.66,UY,1689923026
132,bantay,17.5847,120.3892,91.96,71,43,4.59,PH,1689923026
133,tuburan,6.6439,122.2736,87.89,72,69,6.06,PH,1689923027
134,ulladulla,-35.35,150.4667,56.68,50,31,13.96,AU,1689923027
135,hadibu,12.65,54.0333,79.81,75,100,24.96,YE,1689922937
136,arraial do cabo,-22.9661,-42.0278,69.46,65,100,16.37,BR,1689922898
137,mar del plata,-38.0023,-57.5575,53.1,94,100,8.05,AR,1689922962
138,labrador city,52.9463,-66.9114,53.51,94,100,0.0,CA,1689923006
139,runing,33.0011,114.3542,88.2,68,100,5.14,CN,1689923028
140,taulaga,-11.0553,-171.0883,83.14,75,62,9.01,AS,1689923028
141,namtsy,62.7161,129.6658,72.82,53,100,8.63,RU,1689923028
142,kurmuk,10.55,34.2833,73.42,87,100,4.9,SD,1689923028
143,udachny,66.4167,112.4,70.45,56,47,5.28,RU,1689923029
144,al ghayzah,16.2079,52.176,83.05,73,90,6.78,YE,1689923029
145,hrubieszow,50.805,23.8925,65.61,63,56,4.56,PL,1689923029
146,malanje,-9.5402,16.341,69.51,46,54,0.36,AO,1689923029
147,san daniele del friuli,46.1614,13.0142,74.46,70,100,1.01,IT,1689923029
148,hamilton,39.1834,-84.5333,72.45,90,20,5.75,US,1689923030
149,tolanaro,-25.0319,46.9987,69.87,78,75,16.11,MG,1689923030
150,vorgashor,67.5833,63.95,76.23,53,22,10.87,RU,1689923030
151,holualoa,19.6228,-155.9522,78.87,94,75,3.44,US,1689923030
152,nago,26.5881,127.9761,88.65,70,100,2.82,JP,1689922845
153,taltal,-25.4,-70.4833,58.35,87,100,4.5,CL,1689923031
154,port hedland,-20.3167,118.5667,86.05,17,0,11.5,AU,1689923031
155,yaren,-0.5472,166.916,78.17,88,100,6.49,NR,1689923031
156,yeniseysk,58.4497,92.1703,84.92,29,87,11.34,RU,1689923031
157,miles city,46.4083,-105.8406,67.17,48,0,0.0,US,1689923032
158,lianzhou,24.7811,112.3825,92.61,62,66,3.78,CN,1689923032
159,utrik,11.2278,169.8474,83.14,80,87,20.85,MH,1689923032
160,tofol,5.3248,163.0078,78.58,94,100,3.44,FM,1689923032
161,sitka,57.0531,-135.33,62.49,72,75,3.44,US,1689923032
162,karratha,-20.7377,116.8463,80.92,28,23,12.64,AU,1689923033
163,naranjito,-2.2167,-79.4833,76.68,88,99,2.01,EC,1689923033
164,holdrege,40.4403,-99.3698,65.48,94,100,0.0,US,1689923033
165,hasaki,35.7333,140.8333,84.6,77,0,12.08,JP,1689923033
166,macas,-2.3167,-78.1167,65.59,89,98,2.35,EC,1689922761
167,grand falls-windsor,48.9332,-55.6649,67.5,95,100,5.75,CA,1689923034
168,namibe,-15.1961,12.1522,64.24,82,7,2.75,AO,1689923034
169,tena,-0.9833,-77.8167,67.86,98,100,2.55,EC,1689923034
170,tomatlan,19.9333,-105.25,76.93,93,81,2.95,MX,1689923035
171,constantia,44.1833,28.65,81.7,59,1,13.53,RO,1689922961
172,villa gesell,-37.2639,-56.973,55.06,92,27,13.27,AR,1689922956
173,roma,43.2128,-75.4557,67.95,91,100,1.01,US,1689922802
174,homestead meadows north,31.8496,-106.1729,89.49,21,20,8.05,US,1689923005
175,sovetskaya gavan',48.9723,140.2878,76.24,64,25,10.04,RU,1689923035
176,amalapuram,16.5833,82.0167,81.72,78,100,10.38,IN,1689923036
177,ust'-ilimsk,58.0006,102.6619,87.75,22,0,2.3,RU,1689923036
178,kourou,5.1552,-52.6478,71.65,91,14,5.1,GF,1689923036
179,vorkuta,67.5,64.0,76.55,53,19,11.01,RU,1689923036
180,levuka,50.1834,-105.4011,55.22,58,18,3.13,CA,1689923037
181,georgetown,5.4112,100.3354,89.55,82,20,8.05,MY,1689922817
182,dezhou,37.4486,116.2925,78.55,88,100,3.13,CN,1689923037
183,coquimbo,-29.9533,-71.3436,55.13,94,100,3.44,CL,1689922783
184,romblon,12.5751,122.2708,84.11,72,21,1.5,PH,1689923037
185,snyder,32.7179,-100.9176,84.54,28,0,9.22,US,1689923038
186,cam ranh,11.9214,109.1591,89.56,66,20,11.5,VN,1689923038
187,sonoita,31.85,-112.8333,87.84,43,0,20.22,MX,1689923038
188,egilsstadir,65.2653,-14.3948,40.91,93,100,4.61,IS,1689923038
189,puerto san jose,13.9256,-90.8244,79.12,81,97,5.93,GT,1689923039
190,san antonio de pale,-1.4014,5.6325,73.35,74,100,10.76,GQ,1689922855
191,nouadhibou,20.931,-17.0347,71.58,78,100,19.57,MR,1689923039
192,tres lagoas,-20.7511,-51.6783,67.84,64,0,6.51,BR,1689922947
193,lumphat,13.4878,106.9816,83.68,88,100,3.13,KH,1689923039
194,san luis de la loma,17.2706,-100.8939,81.0,80,18,3.74,MX,1689923040
195,salalah,17.0151,54.0924,78.89,100,100,11.5,OM,1689923040
196,hell-ville,-13.4,48.2667,78.67,77,75,4.61,MG,1689923040
197,sidney,-33.8679,151.2073,62.62,64,75,11.5,AU,1689922835
198,guapiles,10.2159,-83.7866,80.29,96,100,3.09,CR,1689923041
199,novo aripuana,-5.1206,-60.3797,71.11,65,2,0.98,BR,1689923041
200,santana,-0.0583,-51.1817,77.18,94,20,4.61,BR,1689923021
201,meadow lakes,61.6247,-149.6011,60.19,87,0,0.0,US,1689923042
202,verkhnevilyuysk,63.4453,120.3167,73.22,54,96,6.58,RU,1689923042
203,nelson bay,-32.7167,152.15,58.08,82,67,14.16,AU,1689923042
204,stanley,54.868,-1.6985,52.77,89,75,6.91,GB,1689923042
205,san ignacio de velasco,-16.3667,-60.95,64.54,61,0,1.3,BO,1689923043
206,balqash,46.8481,74.995,93.79,16,20,13.42,KZ,1689923043
